100,2.22652006149
110,2.80437898636
120,3.24521803856
130,3.73790788651
140,4.31840991974
150,5.06251907349
160,5.6854429245
170,6.45469212532
180,7.18991708755
190,7.97663712502
200,8.83718395233
210,9.82967185974
220,10.712002039
230,11.7762019634
240,12.8869810104
250,13.8337619305
260,15.0839700699
270,16.2374088764
280,17.5417261124
290,18.6355659962
300,19.9261109829
310,21.3461689949
320,22.7679629326
330,24.3106398582
340,25.6336419582
350,27.2144608498
360,28.8956840038
370,30.4997220039
380,32.0819730759
390,33.7570569515
400,35.4708800316
410,37.436218977
420,39.1107318401
430,41.193297863
440,43.6142749786
450,45.8275918961
460,47.6906969547
470,49.5966610909
480,51.7108728886
490,54.0084340572
500,56.0465219021
510,58.9209558964
520,60.8937029839
530,62.9697949886
540,65.4391729832
550,67.9596579075
560,70.3737299442
570,73.4784419537
580,75.6202988625
590,78.3437077999
600,81.1100671291
610,84.5599238873
620,86.6468040943
630,89.0884828568
640,92.2154729366
650,95.9087290764
660,98.2593269348
670,101.572813034
680,104.37096405
690,107.049375057
700,110.500289202
710,113.307521105
720,116.789747953
730,119.686138868
740,123.465070009
750,126.979542971
760,129.811331987
770,133.807373047
780,137.077872038
790,140.793936014
800,143.637602806
810,147.464972019
820,151.159593105
830,155.402442932
840,158.429754019
850,161.714074135
860,166.672554016
870,170.603073835
880,174.78895092
890,178.389212847
900,182.762984037
910,186.540627003
920,190.4044559
930,194.322926044
940,198.101117134
950,202.440848827
960,206.575567961
970,212.443464041
980,214.654030085
990,220.836871862
1000,224.04706192
