110,1.97788190842
120,2.35524010658
130,2.76280498505
140,3.20483708382
150,4.10595297813
160,4.67235207558
170,4.99707198143
180,5.29940485954
190,6.20536708832
200,6.54406499863
210,7.68250608444
220,8.22128796577
230,8.64795088768
240,9.42236709595
250,10.2210118771
260,11.0553929806
270,12.0629069805
280,12.8300900459
290,13.7716529369
300,15.023072958
310,15.7128369808
320,16.7605838776
330,18.1079099178
340,18.9029560089
350,20.4878070354
360,21.3253180981
370,22.3887591362
380,23.6133229733
390,25.1764819622
400,26.1705229282
410,27.8534998894
420,28.9727809429
430,30.3359801769
440,31.6838760376
450,33.4909369946
460,34.8540921211
470,36.2299251556
480,38.1044971943
490,39.6871659756
500,41.1643350124
510,42.6599161625
520,44.2706868649
530,46.0476620197
540,47.7368969917
550,49.474902153
560,51.2820630074
570,53.3813009262
580,55.0368909836
590,57.0656528473
600,58.8695459366
610,60.9622061253
620,62.9079418182
630,65.3091938496
640,66.9972448349
650,69.1276228428
660,71.2108230591
670,73.5432710648
680,75.6314089298
690,78.1831738949
700,80.4459950924
710,82.5734710693
720,84.797326088
730,87.2799611092
740,89.5454390049
750,92.2832529545
760,94.5138010979
770,97.3247721195
780,99.516835928
790,102.200740099
800,105.014034033
810,107.346498966
820,109.997736931
830,112.761590958
840,115.467242002
850,118.275835037
860,120.981782913
870,124.063643932
880,126.683954
890,129.746551037
900,132.674504995
910,135.746484041
920,138.350646019
930,141.505891085
940,144.577070951
950,147.784132957
960,150.842886925
970,154.0296731
980,157.076905012
990,160.461516857
1000,163.624960899
