110,4.80949807167
120,5.5375828743
130,6.55902910233
140,7.53208899498
150,8.64774799347
160,9.97825694084
170,11.3523578644
180,12.7249119282
190,14.0926799774
200,15.5745060444
210,17.2005870342
220,18.8672199249
230,20.7135930061
240,22.4596691132
250,24.3817350864
260,26.3601980209
270,28.4726638794
280,30.5151259899
290,32.8278620243
300,35.6193840504
310,38.1129181385
320,40.4572589397
330,43.0999569893
340,45.5728099346
350,48.1652050018
360,51.1492371559
370,53.8702530861
380,56.8942241669
390,60.0395669937
400,62.5927548409
410,65.566847086
420,68.8108129501
430,71.9846489429
440,75.4762039185
450,79.0162220001
460,82.801967144
470,86.0792679787
480,89.9557569027
490,93.531993866
500,97.4015569687
510,101.573204994
520,105.400880098
530,109.439289808
540,113.965595007
550,118.072608948
560,122.328876019
570,126.642765999
580,131.407466173
590,135.670931101
600,140.400303125
610,144.945055962
620,150.139981985
630,154.894136906
640,161.708282948
650,164.904665232
660,169.727318048
670,175.458606005
680,180.161875963
690,185.870893955
700,191.105916023
710,196.67189002
720,202.17762208
730,208.053797007
740,213.724961996
750,219.585759878
760,225.354809046
770,231.310268879
780,237.559824944
790,243.487874031
800,249.33314991
810,255.684351921
820,264.153593063
830,268.628399849
840,275.320556879
850,281.961805105
860,288.478273869
870,294.663496971
880,301.96510005
890,308.803704023
900,311.826164007
910,318.743253946
920,325.884348154
930,332.856076956
940,340.079709053
950,347.325392962
960,354.451515913
970,362.388748169
980,371.443490028
990,377.380634069
